file_path,layer,primary_responsibility,secondary_count,route_status,line_count,owner_confidence
README.md,doc,Architecture documentation and quick start,0,active,114,high
SKILL.md,skill,"Skill trigger, route table, permission boundary, parent-first workflow",0,active,166,high
agents/openai.yaml,agent_config,Agent configuration for OpenAI runtime,0,unknown,6,medium
references/06_quality_checklist.md,reference_legacy,Quality checklist (legacy reference),0,compatibility,101,medium
references/contracts/agent_result_contract.md,contract,agent_result.json schema,0,active,654,high
references/contracts/agent_task_contract.md,contract,agent_task.json schema,0,active,462,high
references/contracts/batch_learning_contract.md,contract,Batch learning notes schema,0,active,595,high
references/contracts/layout_plan_contract.md,contract,layout_plan.json schema,1,active,383,high
references/contracts/page_content_contract.md,contract,page_content.json schema,1,active,214,high
references/contracts/repair_loop_contract.md,contract,Repair loop tracking schema,1,active,460,high
references/contracts/retrospective_contract.md,contract,Retrospective output schema,1,active,99,high
references/contracts/template_profile_contract.md,contract,template_profile.json schema,0,active,674,high
references/contracts/worker_svg_contract.md,contract,page_XX.svg technical contract,0,active,259,high
references/domain/layout_taxonomy.md,domain,"Layout thinking: page modes, layout families L01-L15, anti-laziness rules",0,active,413,high
references/domain/style_system.md,domain,"Visual design system: colors, fonts, spacing, component language",0,active,360,high
references/domain/svg_rules.md,domain,"SVG technical rules: canvas, forbidden elements, text safety, validator handling",0,active,371,high
references/integrated_review_contract.md,reference_legacy,integrated_review.json schema (legacy contract),0,compatibility,49,medium
references/page_manifest_contract.md,reference_legacy,page_manifest.json schema (legacy contract),0,compatibility,203,medium
references/revision_notes_contract.md,reference_legacy,revision_notes.json schema (legacy contract),0,compatibility,68,medium
references/self_review_contract.md,reference_legacy,self_review.json schema (legacy contract),0,compatibility,143,medium
references/workflow/00_parent_orchestrator.md,workflow,"Parent agent workflow: state management, task distribution, gate, review, export coordination",0,active,657,high
references/workflow/01_template_intake.md,workflow,Template intake worker instructions,0,active,279,high
references/workflow/02_content_worker.md,workflow,Content worker instructions,0,active,703,high
references/workflow/03_layout_worker.md,workflow,Layout worker instructions,0,active,893,high
references/workflow/04_svg_worker.md,workflow,SVG worker instructions,0,active,349,high
references/workflow/05_integrated_review_worker.md,workflow,Integrated review worker instructions,0,active,291,high
references/workflow/06_repair_loop.md,workflow,Repair loop worker instructions,0,active,310,high
references/workflow/07_visual_review.md,workflow,Visual review worker instructions,0,active,363,high
references/workflow/08_retrospective.md,workflow,Retrospective worker instructions,0,active,30,high
scripts/analyze_reference_svg.py,script_render,Script: reference SVG structure extraction only,0,active,227,high
scripts/archive_page_version.py,script_render,Script: page version archiving only,0,active,77,high
scripts/estimate_layout_capacity.py,script_render,Script: layout capacity estimation only,0,active,315,high
scripts/generate_layout_html.py,script_render,Script: layout review HTML only,0,active,760,high
scripts/generate_review_html.py,script_render,Script: visual review HTML only,0,active,894,high
scripts/init_svg_project.py,script_render,Script: project scaffold init only,0,active,121,high
scripts/native_svg_to_ppt.py,script_render,Script: SVG-to-PPT conversion (only via pptflow.py),0,active,1382,high
scripts/orchestrate/collect_agent_results.py,script_orchestrate,Agent result collection and SHA256 verification,0,active,345,high
scripts/orchestrate/make_agent_task.py,script_orchestrate,Single task JSON generator for all steps,0,active,574,high
scripts/orchestrate/ppt_parent.py,script_orchestrate,"Parent state derivation, status/next/preflight, delegation to task scripts",0,active,553,high
scripts/orchestrate/validate_agent_result.py,script_orchestrate,Schema validation for agent_task and agent_result,0,active,258,high
scripts/pipeline_gate.py,script_render,Script: gate pass/fail only,0,active,966,high
scripts/pptflow.py,script_render,Script: export coordination only,0,active,456,high
scripts/render_svg_png.py,script_render,Script: SVG to PNG rendering only,0,active,172,high
scripts/requirements.txt,script_render,Python dependency list,0,active,3,medium
scripts/retrospective/analyze_run.py,script_retrospective,Run retrospective analysis,0,active,384,high
scripts/review_server.py,script_render,Script: approval server only,0,active,300,high
scripts/template/analyze_pptx_template.py,script_template,PPTX template token extraction to template_profile.json,0,active,371,high
scripts/template_analyzer.py,script_template,Script: legacy PPTX analyzer (superseded by analyze_pptx_template.py),0,active,255,high
scripts/test/mece_scan.py,script_test,MECE scan analysis script,0,fixture,646,medium
scripts/test/smoke_v2.py,script_test,Smoke test suite,0,fixture,333,medium
scripts/validate/validate_template_profile.py,script_validate,template_profile.json contract validation,0,active,160,high
scripts/validate_project_contracts.py,script_validate,Script: cross-contract consistency validation only,0,active,413,high
scripts/validate_self_review.py,script_validate,Script: self-review validation only,0,active,148,high
scripts/validate_svg_layout.py,script_validate,Script: SVG layout validation only,0,active,1276,high
